videoId;color_1_name;color_2_name;color_3_name
R9EdSqzxLtg;black;gray;turquoise
FEyXvxtj2rs;black;gray;gray
6zGprFsO6no;black;gray;gray
IAEAHhEwI_c;black;pink;gray
AepLmhv-sG0;black;pink;gray
7oN_FzmMk5Q;black;gray;gray
mcuPHusMiOM;gray;pink;gray
HmgrLPltEQM;black;gray;gray
mrU4FPyCvdQ;gray;green;gray
xy3BkaIu4M4;gray;gray;green
abhDdbfdd6Q;gray;gray;gray
BJa0Ksbi8vI;gray;pink;gray
lh3rd_ZTSZQ;gray;gray;green
vpzt5pCqwT8;gray;gray;gray
ZOwtmej2zEM;gray;gray;gray
2muSr-QIyIo;black;gray;blue
u4rjxlVMPhs;black;red;gray
dkPjJb2Cp9A;gray;gray;turquoise
Bar8_p46D0U;gray;gray;turquoise
hmVQk2ok24Y;gray;gray;turquoise
asU9vKHVEgM;black;gray;gray
Bfbo0563-Q4;gray;gray;gray
cVyXtpJAOIk;black;pink;gray
i7F7IJtmtH0;gray;gray;gray
_t8VKiiFrLQ;gray;gray;green
_2MT1r-Cmsw;black;gray;green
DzK8PfEv-oc;black;gray;gray
qdDwtvCDZ9o;gray;gray;green
2AO6MCP0AzM;black;gray;gray
JkBokCNfLJM;gray;pink;gray
mmRKdpao4tI;gray;brown;green
woBkC8T0JII;black;gray;turquoise
C7ZLHXmRD18;gray;brown;green
1l_bgcUKO40;gray;brown;gray
edp-V7lPj0A;gray;gray;turquoise
naDWuHjobos;black;brown;gray
kIXthNPNYVc;gray;gray;green
2c9PhpgUUcg;gray;gray;green
5ixJ2qKV214;gray;black;gray
OM6P9m-jfc0;black;gray;gray
N_-G-xRRrpA;black;brown;turquoise
Z_fWFd9mDqk;black;gray;gray
da0yJj8PolA;gray;turquoise;gray
PXZuPp0EP7E;black;pink;gray
H0kasJuNDTw;black;gray;gray
fPJnPs1ZEiM;gray;gray;gray
iA6S17tPPLA;black;gray;gray
0XFnCj5rVho;black;gray;gray
-7rdrGsa6G8;gray;gray;green
cziuxZePCRk;gray;black;gray
orQrbsW7KMk;gray;gray;gray
SA1PC0MtDRk;pink;black;green
h-KsHZHJw4c;black;gray;blue
O0NUFPT7rag;gray;gray;gray
nHh6kat9pxc;gray;gray;gray
CijYDRNUhTg;brown;black;brown
ZpLrj8UvnZk;black;gray;gray
ohy-GRn__ys;gray;gray;gray
MbYRpQW1x4Y;black;gray;gray
GUFM8LMk0E0;gray;gray;gray
qv63KCT_8Qw;gray;gray;gray
ItqzGIP335I;gray;gray;gray
Xmt7FYezfRI;gray;gray;gray
LQ2QqMp7PWw;gray;gray;gray
yznv390cLrs;gray;gray;gray
qpVz5j4oC2o;gray;gray;blue
pYBETWfFYhw;pink;black;green
atix9Ssx6ro;black;gray;gray
Ayhl0I5lrlU;green;turquoise;gray
h0wM3Pax0J4;gray;gray;gray
KnLn-90v_-A;gray;gray;green
0W11e-DPWis;gray;gray;gray
xBpn43qA-ns;gray;brown;gray
Ki4x5XNe2i0;gray;gray;green
qGXfijNZug4;black;brown;gray
a9CvzJ_mDFI;gray;gray;green
cTe4XM5UGqY;gray;black;gray
woU8hq8O4OI;black;gray;blue
pEEYblNN_hQ;gray;gray;turquoise
S9sUvKHYoPw;black;brown;gray
8CAJjJoS4a8;gray;gray;green
f5kIjAikHbs;gray;purple;blue
ZD0eJwLtGhk;black;gray;gray
4zbeVtKVBDQ;gray;gray;gray
xls4_68FWHo;gray;beige;green
5-QdJmUbxWw;gray;gray;gray
QJ6HmkoDkGs;black;pink;gray
i5fKADaF2to;gray;green;gray
0LxkZ7jae3E;gray;gray;gray
Ne6M8r_t6to;gray;brown;green
SR2iyyIlIkM;gray;gray;green
mCX-lCp18To;black;brown;gray
6C3ZTeJg8y8;gray;brown;gray
iQSF90BlvVo;gray;gray;green
rgNXGEtwM60;black;brown;gray
GDo_wZHdE1A;gray;gray;gray
NlDNgumoAZ8;gray;pink;green
fvohQ1Wqk1g;black;gray;blue
s5LIdL5i9UI;gray;gray;green
4oEG7--YZfs;gray;gray;gray
EN9b1priPNc;gray;gray;gray
zKlz79h1-1w;gray;gray;blue
zkMGd9Zxcz8;black;pink;gray
UDGwxLVUw3I;gray;gray;gray
UQcKMxpU2bQ;gray;gray;pink
dLLGHbxzK54;gray;gray;gray
LfHXkrXqfS0;brown;brown;gray
vYyRsg_-1Ow;black;brown;gray
1q7FyUuL_Jw;black;gray;gray
MS5so15j29o;black;gray;gray
m_zUKE_u-cg;gray;gray;gray
SuxSY5lXIiQ;gray;gray;gray
vvbVT-_3AK4;gray;gray;gray
3tGOQf4c_Lw;gray;green;gray
79GJ4DYYVlc;gray;gray;gray
PI8MTIx_67M;gray;gray;gray
6Xfafm8k7y0;gray;gray;gray
xoHoJV_-toY;black;gray;gray
wEBEBZRF4zg;gray;brown;blue
7ySubZMDA3w;black;brown;gray
S5VFLk69G6U;gray;gray;gray
q44vc-MX8Ak;gray;gray;gray
_XfkUfbhK98;gray;gray;gray
7iivznNZo4U;gray;gray;green
0zeC5Vju1Ac;gray;gray;gray
iuOXluNd-wk;gray;gray;blue
A-_naeATJ6o;gray;brown;green
-ICbHxyM_Sg;gray;gray;gray
kq1NdvV1uuo;black;gray;gray
k2Y8wd6c_oo;gray;black;gray
mWEtlhZIh4U;black;gray;gray
ZqM87JPDinU;gray;gray;gray
beQwppF8D6Q;gray;brown;blue
0pZCvB8ESe8;gray;gray;gray
jr5sWFgxqC4;gray;gray;gray
cec59qU48fA;gray;gray;gray
PUbJlrcyXUA;gray;beige;turquoise
Bb-EmSb6GDE;gray;gray;gray
x1ha2ETSSH0;black;gray;blue
HQ8-oESxMQ4;black;gray;gray
E4aS6weQd5Y;black;red;gray
eD0hGZb974k;gray;gray;gray
FK7-8_HnvwQ;gray;brown;green
KKU3mN3RMjI;gray;brown;green
1VUZwzh2jYo;gray;gray;gray
67F0ZL9Mwko;gray;gold;green
CvA3RXO58O4;gray;blue;gray
kDrF0rG9DSk;gray;gray;green
tVcRHBxexsg;gray;gray;blue
GwVJL6Pnv-w;gray;gray;gray
59dp3y4nMhI;gray;gray;gray
z__XmTz2hC8;black;gray;gray
E1NF9mBjv7Q;gray;gray;gray
LwofsVWcG38;black;gray;gray
VYjTXuA1IJ8;brown;black;beige
5fzCGELmd_U;gray;black;green
NlQOWmL_4-w;gray;gray;gray
tXSt0uamP9I;black;gray;gray
mnJ3LGafqcY;black;pink;gray
3igoVRkyJp4;black;gray;gray
KyUHF3d8cz8;blue;gray;blue
QXQOOGyslNc;black;brown;gray
jgXnfEJM0e8;black;gray;gray
0_K3htYZ6sY;gray;gray;gray
Wn8qeyVPadA;black;gray;gray
EL1iGiMv0bA;black;gray;gray
AAn4pEW-tGA;black;gray;gray
rkgxbcwp6o8;gray;gray;gray
dOzNN94vh8E;black;gray;gray
wD091fJMeU4;gray;gray;green
HxBv6zqzCHc;gray;gray;gray
y-YPPkvwWxI;black;gray;gray
_KP3xlvwYsM;gray;brown;gray
_LY9ldUyvgw;black;gray;gray
CMCRC6l5M8U;green;brown;pink
LetrjWZDL5Y;gray;brown;gray
-DO39HJIt0s;gray;gray;gray
DRFRIwTVwbI;black;brown;pink
_1JNY8Ydb18;green;brown;gray
tf4-_4IbXPs;gray;gray;turquoise
c8JjT3f0SGA;black;gray;blue
0MK1q0PjRAM;gray;brown;gray
OvRjowKtwFk;gray;gray;gray
XNG2_bQSDFE;gray;gray;gray
CBnw3H1LVRU;gray;gray;gray
1k-H19wFl5c;gray;gray;gray
HG0e0X-41hI;gray;pink;gray
28a8E5qqn3M;gray;gray;gray
PHX3QgCNsus;gray;gray;blue
fkVI-QJ-WwY;gray;gray;gray
UU63TpEHfiI;gray;brown;gray
Y6WW09vlCSU;gray;brown;gray
4MiN_QNXS78;brown;black;purple
S7flEAR9DcM;gray;gray;gray
5w136h4lmsU;black;gray;gray
FHmUrwjufPA;gray;brown;gray
U1BDp6Y0s-M;black;green;gray
eyMffKwWJuk;gray;gray;gray
zphG9FXU-0E;gray;purple;blue
lJSue7doJcg;black;gray;gray
Uz7HxFDDIIU;gray;gray;gray
BKIyWfFyGBw;black;gray;gray
fcn0qhx80so;black;brown;gray
9trGiiQ6gj0;gray;brown;gray
o51VBquHaLM;gray;gray;pink
GN7wROt_W6k;gray;purple;blue
vKXPbsDrc_c;gray;black;gray
6qo_RdpZRWI;gray;brown;gray
nfoZAWvmbRQ;gray;black;gray
ctVbYM4IxNk;gray;gray;gray
t5tuoOWHExM;gray;gray;gray
tMi9dyy9j7s;gray;gray;green
4rfEjyWw6RM;gray;gray;gray
4MVVWkALeYE;gray;brown;gray
_nCcF5dB-kA;gray;gray;green
CEPR7qjYfvQ;black;pink;gray
sYPtXCwGrcI;gray;black;gray
2cILvxB70Bs;gray;black;green
J83y7dQsjTI;gray;gray;gray
aA0YX6WdhSs;black;gray;gray
XDb5QxA3MAg;black;pink;gray
ibdMi09Y9tQ;black;gray;gray
jqaJGSQ-ZMU;black;gray;gray
bwRChQFXTaU;black;pink;gray
rBUCq8u2tFM;gray;gray;gray
pdCLIOyK6QE;black;gray;gray
TXMityqG494;gray;gray;green
kbFnah4PitI;gray;pink;blue
_rz63v78nMk;gray;gray;gray
2XDXfwbfViI;black;pink;gray
KtdYmzfbsFM;black;pink;gray
pq_tu8fdqjc;black;gray;gray
IRMDOgg3sgY;gray;gray;gray
B_KVBxhQDaQ;gray;gray;gray
ZlHn3qI4PPQ;gray;gray;gray
TWpfP00KRVY;black;gray;gray
sylzFVTr4Lc;gray;brown;gray
O_47V8YbFiU;black;gray;gray
UZRIksGN2XE;black;gray;gray
Z0BOLWnMaew;black;gray;gray
FtAHJbU88EE;black;brown;gray
77dVro0qs68;gray;pink;gray
