channelId;title;publishedAt;viewCount;subscriberCount_x;videoCount_x;engagement_x;publishedYear;publishedMonth;publishedDay;publishedWeekday;publishedHour;viewCount_video;likeCount;commentCount;color_1_r;color_1_g;color_1_b;color_2_r;color_2_g;color_2_b;color_3_r;color_3_g;color_3_b;viewCount_channel;subscriberCount_y;videoCount_y;engagement_y
UCYpRDnhk5H8h16jpS84uqsA;Le Monde;2006-03-17T14:41:41Z;310639457;1320000;2055;0.5042415169660679;2019.5438247011953;6.306772908366534;15.569721115537849;3.099601593625498;15.01195219123506;284604.23107569723;5828.414342629482;855.065868263473;51.85059760956175;48.6394422310757;48.647410358565736;188.21912350597609;174.800796812749;166.72908366533864;137.9581673306773;150.72111553784862;149.87450199203187;310639457.0;1320000.0;2055.0;0.5042415169660679
UCSKdvgqdnj72_SLggp7BDTg;Brut;2016-10-28T12:43:30Z;537272835;1400000;6028;0.41374609485941494;2021.5337301587301;5.583333333333333;16.458333333333332;2.7162698412698414;17.607142857142858;178603.85515873015;5373.19246031746;426.7017892644135;67.29166666666667;61.87103174603175;61.4781746031746;175.48611111111111;157.62103174603175;151.9345238095238;131.75595238095238;152.12301587301587;145.85515873015873;537272835.0;1400000.0;6028.0;0.41374609485941494
UCewhc0fvja891XkpIPGRMxQ;LCI;2015-06-17T14:23:07Z;164788340;507000;3416;0.3871057677603021;2022.0;4.1252485089463224;15.791252485089464;2.558648111332008;13.453280318091451;124218.7097415507;966.7514910536779;995.8747514910536;66.14910536779324;60.62425447316103;69.29224652087476;183.60437375745528;163.56063618290258;164.25646123260438;143.31809145129225;152.65805168986083;164.61630218687873;164788340.0;507000.0;3416.0;0.3871057677603021
UC1ObaaFz4XHVPN2T5IFsU4w;L'Obs;2006-10-02T20:49:21Z;169434054;268000;6836;0.21180999763089317;2021.7128712871288;5.1603960396039605;15.863366336633664;2.37029702970297;14.75049504950495;32395.59603960396;330.209900990099;236.9345238095238;50.392079207920794;46.48910891089109;48.55841584158416;189.5009900990099;175.82574257425742;169.2930693069307;140.84752475247524;153.62574257425743;153.5089108910891;169434054.0;268000.0;6836.0;0.21180999763089317
UCfHn_8-ehdem86fEvlFg-Gw;Le Parisien;2014-10-06T16:42:09Z;844038565;808000;9011;0.46792650418888043;2021.9328214971208;4.577735124760077;16.205374280230327;2.785028790786948;16.00383877159309;267612.93090211134;3209.982725527831;575.5711538461538;58.99232245681382;54.98272552783109;56.424184261036466;182.55854126679463;172.1362763915547;167.7351247600768;63.7658349328215;160.978886756238;207.79846449136275;844038565.0;808000.0;9011.0;0.46792650418888043
UCyIV8rkza5Uk_sJIhqilBvQ;L'ÉQUIPE;2013-02-28T18:07:07Z;132364578;504000;9856;0.21623986241282464;2020.9602385685885;5.465208747514911;15.854870775347912;3.069582504970179;15.441351888667992;72433.46918489065;982.4930417495029;107.3558648111332;67.70576540755467;66.60437375745526;64.86282306163022;175.00596421471172;148.9244532803181;142.73161033797217;142.25844930417495;151.06163021868787;146.38568588469184;132364578.0;504000.0;9856.0;0.21623986241282464
UCpi-4daExRSchtsJzO06rwA;Quotidien;2016-09-07T09:05:05Z;119647060;478000;273;1.2186498996122426;2016.85401459854;6.510948905109489;15.985401459854014;2.145985401459854;17.726277372262775;463383.5255474452;5552.832116788321;313.06227106227107;65.61678832116789;53.07664233576642;56.82116788321168;187.1970802919708;156.20437956204378;153.73357664233578;136.43430656934308;146.95985401459853;161.8832116788321;119647060.0;478000.0;273.0;1.2186498996122426
UCAcAnMF0OrCtUep3Y4M-ZPw;HugoDécrypte - Actus du jour;2015-11-19T19:48:59Z;265596633;1580000;967;1.1354909476019972;2020.9203187250996;6.083665338645418;15.609561752988048;2.4721115537848606;20.64541832669323;336610.38047808764;16560.001992031874;1380.7549800796812;56.199203187250994;44.00996015936255;47.64342629482072;189.21713147410358;156.4003984063745;134.24501992031873;133.81274900398407;151.62749003984064;145.79681274900398;265596633.0;1580000.0;967.0;1.1354909476019972
UCvrNoLkkDgcFrLV2oX8mbEg;TVMag;2006-07-17T18:16:05Z;6861437;34000;399;0.2431228373702422;2016.7358974358974;6.67948717948718;15.51025641025641;2.023076923076923;10.107692307692307;15806.9;73.25217391304348;8.218181818181819;71.72307692307692;62.251282051282054;64.86153846153846;168.55641025641026;144.43333333333334;142.94358974358974;144.64615384615385;138.47948717948717;144.2;6861437.0;34000.0;399.0;0.2431228373702422
UCCDz_XYeKWd0OIyjp95dqyQ;Figaro Live;2006-05-21T15:43:59Z;246857172;435000;10553;0.13700364677099203;2021.295634920635;5.720238095238095;15.107142857142858;2.5218253968253967;15.543650793650794;49066.01388888889;417.258449304175;184.2184368737475;61.91865079365079;60.63095238095238;70.01190476190476;168.27380952380952;160.28373015873015;164.22619047619048;132.60119047619048;147.52579365079364;169.41071428571428;246857172.0;435000.0;10553.0;0.13700364677099203
UCfsTAnYne5szhoMc381A5wg;L'Opinion;2013-04-09T07:01:53Z;4154121;14700;4192;0.1783613843943952;2021.480079681275;6.330677290836653;15.199203187250996;1.9920318725099602;11.643426294820717;827.0418326693227;17.828685258964143;8.390438247011952;49.52589641434263;46.36254980079681;49.55577689243028;183.402390438247;156.39442231075697;150.14342629482073;138.43625498007967;162.4641434262948;171.56573705179284;4154121.0;14700.0;4192.0;0.1783613843943952
